City,Latitude,Longitude,Max Tem,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,ID,Date
ribeira grande,38.5167,-28.7,62.6,62.6,77,75,16.11,PT,3372707,1616077455
yerbogachen,61.2767,108.0108,12.51,12.51,92,26,7.92,RU,2012956,1616077455
san clemente,33.427,-117.612,50.0,48.18,93,44,2.89,US,5391791,1616077455
sevierville,35.8681,-83.5618,61.0,60.04,100,90,5.75,US,4656585,1616077360
sokolo,14.7328,-6.1219,98.83,98.83,7,66,6.15,ML,2450849,1616077456
muscatine,41.4667,-91.1335,37.4,36.86,87,40,19.57,US,4868410,1616077456
saint-augustin,51.226,-58.6502,20.88,20.88,88,100,4.5,CA,6137462,1616077359
airai,-8.9266,125.4092,60.58,60.58,90,89,1.54,TL,1651810,1616077456
namatanai,-3.6667,152.4333,80.46,80.46,74,20,6.22,PG,2090021,1616077457
abu kamal,34.4506,40.9171,67.39,67.39,31,48,5.19,SY,174448,1616077457
codrington,-38.2667,141.9667,57.85,57.85,81,0,2.66,AU,2171099,1616077457
bud,39.447,-86.1758,44.6,44.19,100,90,19.57,US,4255151,1616077458
fairbanks,64.8378,-147.7164,3.99,1.15,71,75,2.15,US,5861897,1616077392
maxixe,-23.8597,35.3472,87.8,87.39,62,20,6.91,MZ,1039536,1616077458
ryotsu,38.0833,138.4333,42.94,42.94,62,100,4.21,JP,1853371,1616077459
jumilla,38.4792,-1.325,48.99,46.11,88,98,1.99,ES,2516255,1616077459
laguna,38.421,-121.4238,48.99,47.37,87,90,3.24,US,5364271,1616077459
bac lieu,9.285,105.7244,78.37,78.37,82,0,11.16,VN,1591474,1616077460
atikokan,48.7555,-91.6216,28.08,28.08,78,0,4.05,CA,5888001,1616077460
robore,-18.3333,-59.75,69.8,69.8,100,90,4.61,BO,3444176,1616077460
illapel,-31.6308,-71.1653,64.13,64.13,61,39,4.41,CL,3887344,1616077461
muros,42.7762,-9.0603,62.01,62.01,49,69,7.0,ES,3115824,1616077461
sola,-13.8833,167.55,81.43,81.43,75,100,10.96,VU,2134814,1616077461
hay river,60.8156,-115.7999,30.2,29.32,59,90,6.91,CA,5972762,1616077462
caravelas,-17.7125,-39.2481,86.41,86.41,53,0,6.35,BR,3466980,1616077293
diplo,24.4667,69.584,82.98,82.98,27,0,17.81,PK,1179758,1616077462
itoman,26.1247,127.6694,71.6,69.22,83,20,4.61,JP,1861280,1616077462
byron bay,-28.65,153.6167,68.0,67.32,100,90,10.36,AU,2172880,1616077463
abu samrah,35.3029,37.1841,57.36,57.36,55,99,26.11,SY,172515,1616077463
vila velha,-20.3297,-40.2925,86.0,84.96,66,40,11.5,BR,3445026,1616077463
angoram,-4.0625,144.0661,74.39,74.39,96,100,1.03,PG,2100765,1616077464
strezhevoy,60.7333,77.5889,32.0,32.0,80,0,8.95,RU,1490796,1616077464
sungairaya,0.7,108.9,78.37,78.37,86,100,5.28,ID,1625908,1616077464
ifanadiana,-21.3,47.6333,74.08,74.08,94,58,3.31,MG,1064366,1616077465
meulaboh,4.1363,96.1285,80.38,80.38,77,100,1.39,ID,1214488,1616077465
elizabeth city,36.2946,-76.2511,55.0,54.28,94,90,11.5,US,4465088,1616077465
hualmay,-11.0964,-77.6139,74.34,74.34,73,55,6.71,PE,3939761,1616077466
baldeogarh,24.755,79.0681,85.32,85.32,24,100,14.12,IN,1277613,1616077466
nhulunbuy,-12.2333,136.7667,77.0,77.0,94,75,4.61,AU,2064735,1616077466
harper,4.375,-7.7169,80.38,80.38,79,100,3.42,LR,2276492,1616077467
izmit,40.7669,29.9169,48.2,48.2,71,75,8.05,TR,745028,1616077467
oudtshoorn,-33.5907,22.2014,80.6,80.6,47,0,10.36,ZA,967106,1616077467
vila franca do campo,37.7167,-25.4333,60.8,60.8,67,20,13.8,PT,3372472,1616077468
fasa,28.9383,53.6482,78.8,78.8,21,20,9.22,IR,134721,1616077468
safford,32.834,-109.7076,48.0,42.98,48,1,6.91,US,5312476,1616077469
wajima,37.4,136.9,45.75,45.75,58,100,6.29,JP,1848976,1616077469
nishihara,26.1842,127.7558,71.6,68.11,83,20,4.61,JP,1855342,1616077469
milkovo,54.7167,158.6167,22.6,22.6,95,100,3.49,RU,2123278,1616077470
peniche,39.3558,-9.3811,68.0,66.11,37,0,15.99,PT,2264923,1616077470
ariguani,10.25,-74.0,87.01,87.01,64,100,1.01,CO,3689589,1616077470
nenjiang,49.1833,125.2167,25.88,25.88,73,63,1.41,CN,2035601,1616077471
tatarsk,55.219,75.9828,18.07,18.07,95,100,7.85,RU,1490003,1616077471
guatire,10.4762,-66.5427,73.0,73.0,68,100,5.19,VE,3639898,1616077471
nevelsk,46.6733,141.8633,24.8,24.8,63,100,2.24,RU,2122894,1616077264
labuan,5.2767,115.2417,80.6,80.29,89,20,8.14,MY,1733782,1616077472
aswan,24.0934,32.907,89.04,89.04,8,0,14.27,EG,359792,1616077472
linjiang,41.8069,126.9078,30.27,30.27,67,0,2.08,CN,2036069,1616077472
filingue,14.3521,3.3168,103.32,103.32,8,100,2.26,NE,2444995,1616077473
whitehorse,60.7161,-135.0538,19.4,14.34,68,20,19.57,CA,6180550,1616077473
beloomut,54.9448,39.3394,32.0,32.0,80,100,2.19,RU,577908,1616077473
fallon,39.4735,-118.7774,41.0,38.14,69,40,3.44,US,5503914,1616077474
belogorsk,50.9158,128.4611,20.93,20.93,78,37,3.71,RU,2026895,1616077474
binghamton,42.0987,-75.918,41.0,38.41,100,90,6.91,US,5109177,1616077474
coahuayana,18.7333,-103.6833,68.0,68.0,56,1,2.77,MX,4013679,1616077475
istisu,40.9457,48.0738,59.0,59.0,36,75,14.97,AZ,586320,1616077475
zaysan,47.4667,84.8667,14.61,14.61,81,98,1.81,KZ,1517060,1616077475
manavalakurichi,8.1333,77.3,86.0,86.0,70,20,3.44,IN,1263942,1616077476
suoyarvi,62.0833,32.35,23.7,23.7,79,49,4.94,RU,486186,1616077476
sarangani,5.4033,125.4636,82.89,82.89,80,21,17.65,PH,1687186,1616077476
koungou,-12.7336,45.2042,87.8,87.8,70,100,3.44,YT,1090225,1616077477
luderitz,-26.6481,15.1594,71.1,71.1,65,0,19.57,NA,3355672,1616077314
bathsheba,13.2167,-59.5167,78.8,78.8,61,40,21.85,BB,3374083,1616077477
ixtapa,20.7,-105.2,55.4,55.4,94,1,4.61,MX,4004293,1616077478
kondinskoye,59.6481,67.41,27.9,27.9,87,100,12.19,RU,1502697,1616077478
rawah,34.4816,41.9093,67.62,67.62,31,0,8.84,IQ,92004,1616077478
coihaique,-45.5752,-72.0662,46.4,46.4,66,0,3.44,CL,3894426,1616077478
margate,51.3813,1.3862,48.0,47.14,65,100,8.01,GB,2643044,1616077479
monkey bay,-14.0728,34.9201,80.98,80.98,64,5,3.31,MW,926308,1616077479
erzin,36.9559,36.2,61.0,61.0,66,72,17.0,TR,296852,1616077479
pierre,44.3683,-100.351,36.0,35.82,75,90,5.75,US,5767918,1616077305
tommot,58.9564,126.2925,7.45,7.45,93,9,2.15,RU,2015179,1616077374
krasnoslobodsk,48.7072,44.5714,35.6,35.31,93,90,6.71,RU,542213,1616077480
lovozero,68.005,35.0117,15.03,15.03,91,89,6.13,RU,533933,1616077480
urengoy,65.9667,78.3667,-6.56,-6.56,93,100,6.55,RU,1488414,1616077481
awjilah,29.1081,21.2869,72.9,72.9,24,14,6.29,LY,88533,1616077481
cabrera,19.6426,-69.9049,78.8,78.06,69,20,6.91,DO,3510874,1616077481
san,13.3034,-4.8956,99.61,99.61,6,0,4.94,ML,2451778,1616077482
kamenka,51.3223,42.7678,32.0,32.0,86,100,6.17,RU,553766,1616077482
anloga,5.7947,0.8973,86.0,86.0,66,40,12.66,GH,2304548,1616077482
mayya,61.7333,130.2811,-13.0,-13.0,58,0,4.47,RU,2020121,1616077483
chartres,48.4167,1.5,45.0,44.53,81,75,8.05,FR,3026466,1616077483
chagoda,59.164,35.3285,30.04,30.04,83,100,7.31,RU,570086,1616077483
sao joao da barra,-21.6403,-41.0511,86.0,86.0,54,0,4.61,BR,3448903,1616077405
puerto lempira,15.2667,-83.7667,78.89,78.89,88,83,10.31,HN,3603157,1616077484
kiunga,-6.1219,141.2906,74.08,74.08,98,100,4.32,PG,2093846,1616077484
carballo,43.213,-8.691,60.8,55.54,48,20,11.5,ES,3126369,1616077484
horta,38.5333,-28.6333,62.6,62.6,77,75,16.11,PT,3372988,1616077485
kokuy,52.2037,117.5529,13.26,13.26,87,100,1.16,RU,2021908,1616077485
marsabit,2.3284,37.9899,78.31,78.31,48,97,14.54,KE,187585,1616077485
sonthofen,47.5167,10.2833,34.0,33.39,74,84,1.99,DE,2831088,1616077486
santo antonio do ica,-3.1022,-67.9397,81.32,81.32,77,99,0.65,BR,3662395,1616077486
mandalgovi,45.7625,106.2708,21.76,21.76,53,100,14.38,MN,2030065,1616077486
lensk,60.7253,114.9278,16.03,16.03,94,79,5.77,RU,2020838,1616077487
breyten,-26.3018,29.987,75.02,75.02,34,89,0.54,ZA,1015694,1616077487
sungai besar,3.6746,100.9867,84.0,83.1,89,20,2.24,MY,1735199,1616077487
samarai,-10.6167,150.6667,82.11,82.11,73,84,4.18,PG,2132606,1616077488
nabire,-3.3667,135.4833,77.22,77.22,91,100,4.18,ID,1634614,1616077488
lithakia,37.7167,20.8333,53.6,53.6,87,90,5.75,GR,258241,1616077488
la ronge,55.1001,-105.2842,28.4,28.4,74,99,4.61,CA,6050066,1616077488
kayerkan,69.3497,87.7602,-23.58,-23.58,96,96,5.88,RU,1497337,1616077489
dukat,62.55,155.55,-14.89,-14.89,83,0,3.38,RU,2125906,1616077489
pridonskoy,51.6841,39.0727,32.0,32.0,80,90,6.71,RU,505421,1616077490
nioro,13.35,-15.75,98.74,98.74,9,0,6.89,GM,2412408,1616077490
ballina,-28.8667,153.5667,68.0,67.69,100,90,10.36,AU,2177069,1616077490
guiratinga,-16.3494,-53.7583,76.41,76.41,84,100,2.42,BR,3461733,1616077490
mayor pablo lagerenza,-19.9309,-60.7718,70.2,70.2,82,100,5.64,PY,3867427,1616077491
porto belo,-27.1578,-48.5531,82.0,80.65,83,90,14.03,BR,3452900,1616077491
qostanay,53.1667,63.5833,21.2,21.2,63,0,13.42,KZ,1519928,1616077491
jiwani,25.05,61.7417,77.58,77.58,65,0,10.6,PK,1175712,1616077492
aasiaat,68.7098,-52.8699,1.92,1.92,89,100,14.61,GL,3424901,1616077492
launceston,-41.45,147.1667,54.0,52.83,76,0,4.61,AU,2160517,1616077492
pacific grove,36.6177,-121.9166,50.0,48.47,76,90,5.84,US,5380437,1616077493
carnot,4.9409,15.8665,81.7,81.7,57,99,4.81,CF,2387495,1616077493
kyra,49.5776,111.9753,19.24,19.24,91,81,1.63,RU,2021041,1616077494
nsanje,-16.92,35.262,89.11,89.11,53,45,5.32,MW,924572,1616077494
barroquinha,-3.0189,-41.1361,86.0,86.0,74,75,9.22,BR,3406041,1616077494
calvinia,-31.4707,19.776,77.13,77.13,24,0,14.03,ZA,3369174,1616077494
deputatskiy,69.3,139.9,-32.96,-32.96,87,0,3.18,RU,2028164,1616077353
vestmanna,62.1564,-7.1664,48.2,48.2,100,40,13.8,FO,2610343,1616077495
santiago del estero,-27.7951,-64.2615,67.64,67.64,59,76,8.55,AR,3835869,1616077495
zwedru,6.0667,-8.1281,84.79,84.79,65,100,2.35,LR,2272491,1616077496
inhambane,-23.865,35.3833,87.8,87.39,62,20,6.91,MZ,1045114,1616077496
itarema,-2.9248,-39.9167,83.95,83.95,69,19,10.04,BR,3393692,1616077496
nome,64.5011,-165.4064,-0.4,-0.4,65,1,6.91,US,5870133,1616077497
waingapu,-9.6567,120.2641,79.48,79.48,86,77,7.4,ID,1622318,1616077497
hit,33.6416,42.8251,71.11,71.11,29,0,9.31,IQ,95788,1616077497
kalmunai,7.4167,81.8167,79.83,79.83,73,100,8.95,LK,1242110,1616077498
douentza,14.9951,-2.9517,99.41,99.41,6,1,12.06,ML,2458334,1616077498
traverse city,44.7631,-85.6206,35.6,34.0,75,90,17.27,US,5012495,1616077498
lasa,46.6166,10.7002,51.8,41.65,47,40,9.22,IT,3175096,1616077499
cayenne,4.9333,-52.3333,84.2,84.09,65,75,9.22,GF,3382160,1616077499
alta floresta,-9.8756,-56.0861,78.8,78.8,94,90,2.3,BR,6316343,1616077499
los llanos de aridane,28.6585,-17.9182,71.6,65.16,60,20,11.5,ES,2514651,1616077500
cockburn town,21.4612,-71.1419,77.0,77.0,53,40,13.8,TC,3576994,1616077500
moree,-29.4667,149.85,68.0,68.0,77,69,10.36,AU,2156927,1616077500
rayachoti,14.05,78.75,81.12,81.12,30,27,9.19,IN,1258291,1616077501
richards bay,-28.783,32.0377,79.75,79.75,76,3,6.87,ZA,962367,1616077367
hobyo,5.3505,48.5268,83.14,83.14,74,7,14.94,SO,57000,1616077501
cururupu,-1.8283,-44.8683,75.22,75.22,97,100,2.44,BR,3401148,1616077207
tashara,55.5195,83.5094,19.99,19.99,82,95,3.0,RU,1490054,1616077501
atbasar,51.8,68.3333,17.71,17.71,85,100,9.06,KZ,1526038,1616077502
sarakhs,36.5449,61.1577,80.6,80.6,32,40,5.23,IR,1159716,1616077502
glomfjord,66.8167,13.9667,30.2,30.13,51,0,18.41,NO,3155487,1616077502
minnedosa,50.2453,-99.8436,24.8,24.8,86,1,4.61,CA,6074882,1616077503
kirakira,-10.4544,161.9205,79.23,79.23,82,93,3.44,SB,2178753,1616077504
nizhniy kuranakh,58.8353,125.4869,9.18,9.18,92,39,3.44,RU,2019135,1616077504
nuristan,35.3,70.8333,21.92,21.92,53,1,3.24,AF,1444363,1616077504
springdale,36.1867,-94.1288,37.4,36.34,100,90,11.5,US,4132093,1616077504
kamina,-8.7386,24.9906,79.14,79.14,67,73,3.6,CD,214614,1616077216
sembakung,3.8167,117.25,74.64,74.64,96,54,0.4,ID,1627877,1616077505
broken hill,-31.95,141.4333,66.2,66.2,72,0,13.8,AU,2173911,1616077457
husavik,66.0449,-17.3389,53.6,53.6,62,75,17.27,IS,2629833,1616077505
te anau,-45.4167,167.7167,43.57,43.57,95,6,1.28,NZ,2181625,1616077385
grand-santi,4.25,-54.3833,85.3,85.3,50,30,4.47,GF,3381538,1616077506
along,28.1667,94.7667,68.74,68.74,51,17,1.95,IN,1278969,1616077506
camiri,-20.05,-63.5167,71.6,71.6,73,90,6.2,BO,3922414,1616077507
smyrna,33.884,-84.5144,66.0,64.31,100,75,6.91,US,4223379,1616077465
lafia,8.4833,8.5167,104.59,104.59,22,99,2.62,NG,2332515,1616077507
lipari,38.4674,14.954,54.0,53.74,80,95,24.99,IT,2524379,1616077507
tinskoy,56.1525,96.9161,14.02,14.02,87,64,4.09,RU,1489571,1616077508
san pedro de macoris,18.4616,-69.2972,79.0,78.22,73,20,11.5,DO,3493032,1616077508
panama city,8.9936,-79.5197,82.99,82.45,78,40,5.75,PA,3703443,1616077423
haapiti,-17.5667,-149.8667,77.0,77.0,88,20,2.3,PF,4034438,1616077508
talara,-4.5772,-81.2719,82.4,82.4,54,0,5.75,PE,3691582,1616077509
xifeng,42.7372,124.7222,34.5,34.5,52,0,5.28,CN,2033866,1616077509
sri aman,1.2376,111.4621,75.0,74.17,100,100,0.78,MY,1735799,1616077509
kawalu,-7.3817,108.2082,74.35,74.35,93,100,0.76,ID,1640902,1616077510
mantua,45.1667,10.7833,51.01,50.32,52,15,8.99,IT,3174050,1616077510
certegui,5.3707,-76.6044,74.68,74.68,92,100,0.78,CO,3686883,1616077510
doha,25.2867,51.5333,104.0,92.59,35,0,5.75,QA,290030,1616077292
kishorganj,24.4333,90.7667,78.87,78.87,16,97,5.35,BD,1337249,1616077511
ipala,14.6167,-89.6167,78.8,72.48,77,20,1.28,GT,3595366,1616077511
tual,-5.6667,132.75,83.79,83.79,72,28,5.3,ID,1623197,1616077511
banda aceh,5.5577,95.3222,80.8,80.8,78,100,8.59,ID,1215502,1616077504
tumut,-35.3,148.2167,66.2,66.2,77,90,6.91,AU,2145875,1616077512
palimbang,6.2106,124.1894,80.42,80.42,85,61,0.45,PH,1696105,1616077512
labuhan,-6.8844,112.2051,82.02,82.02,75,100,4.99,ID,8079926,1616077513
vestmannaeyjar,63.4427,-20.2734,46.4,46.4,100,90,17.27,IS,3412093,1616077215
ampanihy,-24.7,44.75,93.02,93.02,30,0,6.2,MG,1078553,1616077513
athabasca,54.7169,-113.2854,23.0,20.14,100,84,4.68,CA,5887916,1616077513
los chiles,11.0333,-84.7167,79.75,79.75,76,40,1.59,CR,3623008,1616077514
santa rosa,14.3122,121.1114,84.2,83.37,74,40,6.91,PH,1687894,1616077256
san cristobal,7.7669,-72.225,78.8,78.8,83,40,4.61,VE,3628473,1616077514
kruisfontein,-34.0033,24.7314,84.99,84.99,63,0,10.0,ZA,986717,1616077515
valday,57.9747,33.2525,29.23,29.23,84,100,6.42,RU,477301,1616077515
kincardine,56.0667,-3.7167,64.99,64.09,52,0,8.05,GB,2645525,1616077515
tallahassee,30.4383,-84.2807,70.0,69.46,88,90,17.27,US,4174715,1616077412
salihorsk,52.7876,27.5415,33.93,33.93,77,100,9.55,BY,622428,1616077516
caraballeda,10.6112,-66.8522,73.0,73.0,68,96,10.69,VE,3646767,1616077516
bidor,4.1139,101.2884,84.0,79.36,94,40,1.48,MY,1735287,1616077516
havelock,34.8791,-76.9013,66.0,64.71,94,100,1.99,US,4470244,1616077517
bowen,-20.0167,148.2333,73.4,73.4,100,75,3.44,AU,2174444,1616077517
oranjemund,-28.55,16.4333,68.13,68.13,66,0,15.88,NA,3354071,1616077246
sao filipe,14.8961,-24.4956,73.31,73.31,72,0,2.84,CV,3374210,1616077518
tondano,1.3038,124.9112,78.8,78.8,89,20,1.14,ID,1623424,1616077518
washougal,45.5826,-122.3534,45.0,42.78,81,90,4.61,US,5815136,1616077518
udachnyy,66.4167,112.4,15.62,15.62,84,100,21.36,RU,2014624,1616077374
russell,32.3502,-85.1999,68.0,67.32,88,75,8.05,US,4047434,1616077519
avera,33.194,-82.5271,68.0,66.72,100,75,12.66,US,4231997,1616077519
dossor,47.5272,52.9811,50.23,50.23,55,0,12.62,KZ,610023,1616077519
pozo colorado,-23.4923,-58.7972,81.18,81.18,50,90,7.72,PY,3437443,1616077520
baykit,61.67,96.37,18.25,18.25,92,100,7.81,RU,1510689,1616077448
oksfjord,70.2396,22.3479,28.4,26.06,59,20,3.44,NO,778362,1616077520
vanavara,60.34,102.2797,17.42,17.42,93,98,8.37,RU,2013727,1616077521
ketchikan,55.3422,-131.6461,35.6,35.6,100,90,5.14,US,5554428,1616077477
mehamn,71.0357,27.8492,24.8,24.8,80,40,8.05,NO,778707,1616077521
mount isa,-20.7333,139.5,82.4,82.4,26,73,12.66,AU,2065594,1616077337
sezana,45.7092,13.8733,53.01,49.37,43,75,3.44,SI,3190945,1616077521
joshimath,30.5667,79.5667,51.85,51.85,55,71,5.5,IN,1268814,1616077522
auki,-8.7676,160.7034,76.91,76.91,85,99,4.18,SB,2109701,1616077522
pangnirtung,66.1451,-65.7125,-14.8,-14.8,64,40,6.91,CA,6096551,1616077522
goundi,9.3627,17.366,104.31,104.31,18,80,5.64,TD,2431736,1616077523
palmer,42.1584,-72.3287,43.0,42.49,81,90,4.61,US,4946620,1616077523
mayo,38.8876,-76.5119,48.99,47.41,100,90,6.91,US,4362001,1616077523
boa vista,2.8197,-60.6733,86.0,86.0,45,0,17.27,BR,3664980,1616077524
colonial heights,37.268,-77.4073,48.99,48.72,100,90,6.13,US,4753671,1616077524
puerto carreno,6.189,-67.4859,87.06,87.06,48,100,12.26,CO,3671519,1616077524
eureka,40.8021,-124.1637,53.6,52.59,66,90,12.66,US,5563397,1616077525
wad rawah,15.1603,33.1397,106.39,106.39,8,32,14.18,SD,364071,1616077525
rio grande,-32.035,-52.0986,69.8,69.8,78,90,11.5,BR,3451138,1616077267
fairview,40.8126,-73.999,46.4,45.05,87,90,3.44,US,5097801,1616077525
shelburne,44.0787,-80.2041,36.0,34.09,88,100,16.71,CA,6145890,1616077526
huanren,41.2647,125.3667,34.65,34.65,57,0,2.51,CN,2036713,1616077526
bose,45.4612,8.0137,50.0,49.33,50,90,1.01,IT,6457397,1616077526
salta,-24.7859,-65.4117,62.6,62.6,77,75,3.44,AR,3838233,1616077231
camden,39.7835,-74.9663,46.99,46.17,97,100,5.59,US,4501019,1616077527
anda,46.4,125.3167,33.55,33.55,40,100,2.77,CN,2038650,1616077527
iquique,-20.2208,-70.1431,73.4,73.4,56,0,11.5,CL,3887127,1616077336
conde,-7.2597,-34.9075,73.4,73.4,100,75,2.3,BR,3385077,1616077528
calama,-22.4667,-68.9333,64.4,64.4,39,0,11.5,CL,3897347,1616077528
akdepe,42.0551,59.3788,57.2,55.36,58,0,18.41,TM,601551,1616077528
syracuse,37.0881,15.2792,57.2,56.46,82,75,6.91,IT,2523082,1616077462
okhotsk,59.3833,143.3,9.28,9.28,68,0,15.9,RU,2122605,1616077529
pucallpa,-8.3791,-74.5539,84.2,84.2,74,40,6.91,PE,3693345,1616077348
granadilla de abona,28.1188,-16.576,72.0,69.75,53,20,21.85,ES,2517111,1616077529
merauke,-8.4667,140.3333,80.92,80.92,79,100,1.68,ID,2082539,1616077529
johnson city,36.3134,-82.3535,60.8,59.45,82,75,5.75,US,4633419,1616077369
lorengau,-2.0226,147.2712,81.1,81.1,74,44,2.26,PG,2092164,1616077530
stornoway,58.2093,-6.3865,51.01,50.41,87,75,12.66,GB,2636790,1616077530
hammerfest,70.6634,23.6821,26.6,26.6,68,40,2.3,NO,779683,1616077531
isoka,-10.1606,32.6335,75.36,75.36,76,41,2.73,ZM,916668,1616077517
san francisco menendez,13.8431,-90.0158,71.6,71.6,68,0,3.2,SV,3583716,1616077531
stralsund,54.3091,13.0818,43.0,43.0,70,11,1.99,DE,2826287,1616077531
lima duarte,-21.8425,-43.7931,79.0,78.35,57,0,4.61,BR,3458591,1616077532
adrar,20.5022,-10.0711,89.02,89.02,6,0,1.77,MR,2381972,1616077532
fuzhou,26.0614,119.3061,59.0,59.0,94,90,4.47,CN,1810821,1616077532
greenfield,42.9614,-88.0126,39.0,37.53,75,75,23.02,US,5255068,1616077241
krynychky,48.3755,34.467,39.2,39.09,93,90,11.18,UA,704079,1616077533
poum,-20.2333,164.0167,80.13,80.13,78,79,20.45,NC,2138555,1616077386
jonesboro,35.8423,-90.7043,44.6,43.95,70,90,17.27,US,4116834,1616077533
bozhou,33.8772,115.7703,46.85,46.85,52,100,5.44,CN,1816234,1616077534
manbij,36.5281,37.9549,51.8,51.8,71,75,9.22,SY,167357,1616077534
axim,4.8699,-2.2405,80.38,80.38,74,100,10.36,GH,2303611,1616077310
yangmei,24.1023,112.5618,71.01,71.01,85,15,2.89,CN,1787409,1616077534
sehithwa,-20.4667,22.7167,82.89,82.89,45,99,3.22,BW,933109,1616077535
arlit,18.7369,7.3853,102.49,102.49,8,0,15.26,NE,2447513,1616077535
baghdogra,26.7,88.3167,78.17,78.17,19,0,5.97,IN,1277897,1616077535
hervey bay,-25.2986,152.8535,72.0,72.0,92,56,3.0,AU,2146219,1616077319
ikovka,55.6089,64.9375,21.24,21.24,82,100,10.76,RU,1505946,1616077536
hegang,47.4,130.3667,25.57,25.57,66,0,4.94,CN,2036986,1616077536
san jose,37.3394,-121.895,52.0,50.0,66,90,11.5,US,5392171,1616077238
boda,4.3189,17.4695,86.32,86.32,49,52,4.7,CF,2388614,1616077537
santander,43.4647,-3.8044,53.6,50.67,66,40,6.91,ES,3109718,1616077537
tessalit,20.1986,1.0114,93.33,93.33,6,0,16.6,ML,2449893,1616077537
markala,13.7021,-6.0659,99.01,99.01,6,31,4.68,ML,2453662,1616077537
buraydah,26.326,43.975,93.2,93.2,20,0,12.66,SA,107304,1616077538
sladkovo,55.5284,70.3385,18.91,18.91,88,100,8.39,RU,1491719,1616077538
tanout,14.9709,8.8879,100.69,100.69,6,0,3.65,NE,2439155,1616077538
brezno,48.8043,19.6363,36.0,36.0,20,100,3.0,SK,3060950,1616077539
erenhot,43.6475,111.9767,37.58,37.58,50,2,3.76,CN,2037485,1616077539
arazede,40.2863,-8.65,66.0,66.0,33,0,5.99,PT,2742827,1616077539
saquena,-4.6667,-73.5167,81.59,81.59,76,36,3.96,PE,3692020,1616077540
owando,-0.4819,15.8999,91.85,91.85,44,10,1.23,CG,2255542,1616077540
chalmette,29.9427,-89.9634,60.01,57.83,54,1,11.5,US,4319518,1616077540
acapulco,16.8634,-99.8901,75.2,75.2,83,1,4.61,MX,3533462,1616077541
surt,31.2089,16.5887,65.5,65.5,52,100,14.32,LY,2210554,1616077541
malpura,26.2833,75.3833,81.46,81.46,25,76,20.85,IN,1264032,1616077541
beringovskiy,63.05,179.3167,-17.93,-17.93,88,0,4.7,RU,2126710,1616077542
